Companies,Nominal,Montant 2019,Variation2019,Montant 2020,Variation2020,Montant 2021,Variation2021,Montant 2022,Variation2022,DL 2019,DL 2020,DL 2021,DL 2022,Average DL,Growth Rate 2020,Growth Rate 2021,Growth Rate 2022
ADWYA,1.0,0.1,-0.33333333333333326,0.1,-0.4584905660377359,0.1,1.787456445993032,0.08,-0.20000000000000004,0.1,0.1,0.1,0.08,0.09500000000000001,0.0,0.0,-0.20000000000000004
Air Liquide Tunisie ,25.0,4.5,0.0975609756097562,4.5,-0.4584905660377359,4.5,1.787456445993032,5.5,0.2222222222222222,0.18,0.18,0.18,0.22,0.19,0.0,0.0,0.2222222222222222
Amen Bank ,5.0,1.35,0.08000000000000007,1.75,-0.4584905660377359,2.15,1.787456445993032,1.45,-0.3255813953488372,0.27,0.35,0.43,0.29,0.335,0.2962962962962962,0.2285714285714285,-0.3255813953488372
Arab Tunisian Bank -ATB-,1.0,0.07,-0.6956521739130435,0.07,-0.4584905660377359,0.07,1.787456445993032,0.07,1.6666666666666667,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0
Arab Tunisian Lease ,1.0,0.2,-0.19999999999999996,0.1375,-0.4584905660377359,0.075,1.787456445993032,0.2,1.6666666666666667,0.2,0.1375,0.075,0.2,0.153125,-0.3125,-0.4545454545454546,1.6666666666666667
ARTES,1.0,0.53,-0.13821138211382109,0.287,-0.4584905660377359,0.8,1.787456445993032,0.8,0.0,0.53,0.287,0.8,0.8,0.60425,-0.4584905660377359,1.787456445993032,0.0
Attijari Bank ,5.0,2.2,0.8333333333333336,2.45,0.06666666666666674,2.7,0.0,3.15,0.16666666666666655,0.44000000000000006,0.49000000000000005,0.54,0.63,0.525,0.11363636363636363,0.1020408163265306,0.16666666666666655
ATTIJARI LEASING,10.0,1.2,0.0,0.85,0.06666666666666674,0.5,0.0,1.2,1.4,0.12,0.08499999999999999,0.05,0.12,0.09375,-0.2916666666666667,-0.4117647058823529,1.4
BH Bank,5.0,0.6,0.0,0.6,0.06666666666666674,0.6,0.0,0.95,0.5833333333333334,0.12,0.12,0.12,0.19,0.1375,0.0,0.0,0.5833333333333334
BH Assurance,5.0,0.25,-0.37500000000000006,1.0,0.06666666666666674,1.0,0.0,1.1,0.10000000000000009,0.05,0.2,0.2,0.22000000000000003,0.1675,3.0,0.0,0.10000000000000009
Banque de Tunisie,1.0,0.25,-0.37500000000000006,0.3,0.06666666666666674,0.35,0.06250000000000006,0.28,-0.19999999999999987,0.25,0.3,0.35,0.28,0.29500000000000004,0.19999999999999996,0.16666666666666663,-0.19999999999999987
