Date,High,Close,Low,Open
2012-02-07,5283.121,5274.206,5215.076,5269.593
2012-02-08,5287.717,5276.924,5228.402,5273.52
2012-02-09,5274.671,5213.364,5202.369,5274.508
2012-02-10,5272.368,5237.45,5219.871,5237.135
2012-02-13,5231.977,5221.484,5189.821,5234.506
2012-02-14,5225.154,5193.878,5181.771,5221.3
2012-02-15,5208.939,5195.594,5171.837,5195.568
2012-02-16,5219.218,5209.239,5192.359,5196.109
2012-02-17,5228.468,5219.852,5183.982,5189.29
2012-02-20,5235.529,5240.396,5198.797,5221.55
2012-02-21,5252.067,5253.492,5198.048,5217.434
2012-02-22,5292.49,5266.603,5258.248,5257.424
2012-02-23,5314.331,5294.798,5247.732,5265.662
2012-02-24,5296.329,5275.285,5266.017,5288.503
2012-02-27,5310.268,5295.54,5283.225,5295.127
2012-02-28,5298.56,5275.757,5259.023,5300.148
2012-02-29,5349.319,5337.302,5299.453,5299.884
2012-03-01,5336.022,5323.214,5284.114,5313.1
2012-03-02,5330.804,5274.465,5272.864,5329.328
2012-03-05,5301.852,5303.479,5231.917,5274.55
2012-03-06,5308.156,5302.998,5270.477,5304.749
2012-03-07,5293.859,5286.646,5258.347,5294.471
2012-03-08,5289.087,5254.664,5241.639,5288.309
2012-03-09,5271.966,5265.976,5236.979,5258.72
2012-03-12,5269.224,5240.891,5235.704,5260.614
2012-03-13,5247.466,5247.244,5217.621,5224.681
2012-03-14,5251.972,5229.988,5209.394,5227.882
2012-03-15,5243.11,5231.596,5206.8,5231.529
2012-03-16,5240.52,5225.781,5204.828,5206.134
2012-03-19,5265.158,5240.739,5219.567,5233.195
2012-03-21,5236.864,5226.078,5224.413,5231.268
2012-03-22,5242.067,5237.059,5194.429,5226.459
2012-03-23,5237.14,5227.664,5170.601,5236.984
2012-03-26,5239.051,5236.884,5194.668,5227.83
2012-03-27,5264.733,5266.399,5200.921,5249.687
2012-03-28,5274.176,5270.749,5221.515,5232.278
2012-03-29,5299.167,5301.597,5226.687,5273.492
2012-03-30,5317.749,5275.96,5255.395,5300.781
2012-04-02,5330.216,5329.259,5249.881,5276.112
2012-04-03,5376.687,5364.81,5315.732,5325.304
2012-04-04,5359.711,5346.905,5305.506,5339.742
2012-04-05,5431.225,5404.448,5340.684,5340.81
2012-04-06,5492.37,5466.069,5355.188,5365.435
2012-04-10,5482.121,5403.266,5399.068,5477.084
2012-04-11,5474.546,5473.376,5398.527,5416.166
2012-04-12,5516.667,5502.528,5466.222,5471.068
2012-04-13,5518.337,5475.597,5435.215,5466.209
2012-04-16,5506.839,5501.441,5448.176,5477.052
2012-04-17,5500.237,5474.834,5441.864,5496.396
2012-04-18,5490.487,5477.777,5454.789,5455.083
2012-04-19,5460.241,5458.904,5417.81,5450.538
2012-04-20,5470.667,5441.183,5420.059,5466.336
2012-04-23,5468.409,5463.936,5417.727,5435.891
2012-04-24,5467.874,5417.5,5397.694,5465.547
2012-04-25,5418.003,5411.616,5357.549,5419.388
2012-04-26,5409.519,5407.679,5348.349,5398.939
2012-04-27,5444.463,5411.994,5384.146,5401.702
2012-04-30,5438.631,5434.862,5369.439,5408.181
2012-05-02,5476.789,5429.156,5408.629,5445.197
2012-05-03,5455.036,5446.357,5406.465,5453.932
2012-05-04,5449.749,5429.39,5368.771,5450.862
2012-05-07,5432.581,5396.966,5397.204,5427.852
2012-05-08,5407.046,5406.825,5364.949,5380.158
2012-05-09,5421.282,5395.559,5372.357,5403.812
2012-05-10,5408.232,5395.66,5367.059,5395.321
2012-05-11,5422.239,5393.699,5392.023,5400.897
2012-05-14,5397.168,5357.428,5336.745,5400.801
2012-05-15,5352.215,5309.105,5280.948,5344.468
2012-05-16,5302.75,5277.266,5257.612,5294.827
2012-05-17,5290.902,5260.212,5216.177,5281.891
2012-05-18,5275.389,5270.39,5251.299,5263.29
2012-05-21,5301.436,5296.276,5254.229,5270.161
2012-05-22,5331.59,5318.347,5291.52,5296.687
2012-05-23,5348.686,5332.416,5282.24,5314.301
2012-05-24,5355.045,5320.046,5318.709,5342.25
2012-05-25,5332.191,5291.197,5275.608,5304.379
2012-05-28,5329.853,5224.332,5225.374,5302.819
2012-05-29,5315.839,5316.355,5228.779,5241.679
2012-05-30,5326.213,5310.52,5303.477,5318.687
2012-05-31,5328.907,5290.955,5279.783,5318.073
2012-06-01,5294.772,5258.899,5234.261,5291.159
2012-06-04,5315.175,5304.728,5256.005,5263.945
2012-06-05,5334.802,5333.9,5305.234,5304.776
2012-06-06,5336.371,5318.701,5282.691,5332.281
2012-06-07,5375.609,5373.667,5299.74,5302.136
2012-06-08,5379.608,5382.121,5324.173,5370.818
2012-06-11,5393.675,5362.867,5341.811,5378.789
2012-06-12,5376.096,5307.078,5295.827,5371.215
2012-06-13,5327.45,5303.873,5288.347,5318.985
2012-06-14,5352.031,5350.004,5287.361,5303.741
2012-06-15,5380.33,5368.279,5324.555,5358.076
2012-06-18,5388.335,5386.109,5341.077,5361.251
2012-06-19,5387.952,5343.942,5324.8,5385.055
2012-06-20,5346.847,5346.072,5303.381,5336.018
2012-06-21,5334.231,5277.507,5262.167,5329.868
2012-06-22,5319.642,5320.031,5248.333,5296.629
2012-06-25,5342.102,5337.875,5287.747,5313.662
2012-06-26,5340.592,5337.673,5275.137,5336.895
2012-06-27,5334.375,5307.113,5277.956,5338.187
2012-06-28,5346.738,5347.709,5269.396,5302.056
2012-06-29,5358.368,5323.919,5318.098,5335.537
2012-07-02,5348.941,5321.655,5302.231,5318.996
2012-07-03,5326.352,5325.187,5259.804,5295.938
2012-07-04,5353.619,5353.819,5285.196,5302.145
2012-07-05,5362.015,5340.497,5337.99,5351.214
2012-07-06,5385.81,5346.958,5284.974,5336.911
2012-07-09,5421.65,5423.716,5332.515,5337.994
2012-07-10,5438.804,5357.961,5335.858,5421.26
2012-07-11,5396.136,5399.255,5336.876,5354.809
2012-07-12,5414.929,5390.467,5329.274,5340.827
2012-07-13,5413.854,5414.37,5364.655,5382.526
2012-07-16,5448.56,5400.867,5390.15,5434.608
2012-07-17,5402.502,5373.4,5357.838,5400.569
2012-07-18,5372.881,5343.106,5324.621,5372.293
2012-07-19,5382.352,5360.389,5335.99,5346.35
2012-07-20,5382.755,5383.251,5348.333,5364.277
2012-07-23,5390.15,5373.359,5352.369,5386.724
2012-07-24,5371.392,5372.582,5337.826,5371.506
2012-07-26,5391.714,5393.108,5325.342,5363.854
2012-07-27,5380.226,5381.218,5315.812,5378.07
2012-07-30,5393.741,5368.552,5365.187,5383.242
2012-07-31,5402.191,5399.446,5334.49,5370.936
2012-08-01,5439.145,5433.05,5414.639,5415.24
2012-08-02,5469.099,5451.436,5414.034,5431.62
2012-08-03,5460.252,5394.701,5393.076,5463.487
2012-08-06,5420.736,5406.924,5370.834,5412.525
2012-08-07,5427.824,5426.037,5376.984,5409.25
2012-08-08,5435.617,5423.782,5398.671,5424.896
2012-08-09,5429.236,5366.682,5367.563,5425.097
2012-08-10,5410.268,5363.12,5355.782,5365.542
2012-08-14,5370.001,5365.533,5339.24,5355.484
2012-08-15,5381.327,5357.165,5323.438,5349.899
2012-08-16,5367.081,5364.72,5311.315,5357.43
2012-08-17,5361.797,5338.486,5322.246,5364.404
2012-08-21,5359.326,5339.205,5298.319,5353.505
2012-08-22,5343.845,5327.701,5299.508,5342.038
2012-08-23,5358.781,5360.702,5327.581,5330.122
2012-08-24,5381.521,5362.02,5346.811,5357.911
