Company,Year,Dividend,Variation,Nominal,Liquidity
OFFICE PLAST,2017,0.055,0.09999999999999995,10.0,0.0055
Placements de Tunisie - SICAF,2017,2.0,0.0,10.0,0.2
POULINA GROUP HOLDING,2017,0.28,0.21739130434782614,10.0,0.028000000000000004
SERVICOM,2017,0.07,-0.4166666666666666,10.0,0.007000000000000001
SIAME,2017,0.07,-0.4166666666666666,10.0,0.007000000000000001
SIPHAT,2017,1.0,0.0,10.0,0.1
SITS,2017,1.0,0.0,10.0,0.1
Société d'Articles Hygiéniques SAH -,2017,1.0,0.0,10.0,0.1
Société d'Assurances SALIM,2017,1.0,0.0,10.0,0.1
Société de Fabrication des Boissons de Tunisie -SFBT-,2017,0.65,0.0,10.0,0.065
Société de Production Agricole Teboulba - SOPAT -,2017,0.65,0.08333333333333341,10.0,0.065
Société de Transport des Hydrocarbures par Pipelines - SOTRAPIL -,2017,0.65,0.08333333333333341,10.0,0.065
Société Délice Holding,2017,0.42,-0.06666666666666672,10.0,0.041999999999999996
Société ESSOUKNA,2017,0.24,0.0,10.0,0.024
Société Générale Industrielle de Filtration -GIF-,2017,1.5,0.0,10.0,0.15
Société Immobilière et de Participation -SIMPAR-,2017,1.5,0.0,10.0,0.15
Société l'Accumlateur Tunisien ASSAD,2017,0.06,-0.7065217391304347,10.0,0.006
Société Moderne de Céramique -SOMOCER-,2017,2.7,-0.7065217391304347,10.0,0.27
Société Nouvelle Maison de la Ville de Tunis  -MONOPRIX-,2017,2.7,-0.7065217391304347,10.0,0.27
Société Tunisienne d'Assurances et de Réassurances - STAR-,2017,2.7,-0.7065217391304347,10.0,0.27
Société Tunisienne de Banque -STB-,2017,0.5,0.0,10.0,0.05
Société Tunisienne de l'Air -TUNISAIR -,2017,0.5,0.0,10.0,0.05
Société Tunisienne de Réassurance -TUNIS RE -,2017,0.5,0.0,10.0,0.05
Société Tunisienne de Verreries - SOTUVER -,2017,0.22,0.047619047619047665,10.0,0.022
Société Tunisienne d'Entreprises de Télécommunications - SOTETEL -,2017,0.1,0.0,10.0,0.01
Société Tunisienne d'Equpement - STEQ -,2017,0.1,0.0,10.0,0.01
Société Tunisienne des Marchés de Gros - SOTUMAG -,2017,0.1,0.0,10.0,0.01
Société Tunisienne Industrielle du Papier et du Carton - SOTIPAPIER -,2017,0.2,0.0,10.0,0.02
Société Tunisiennes des Induustries Pneumatiques -STIP -,2017,0.55,0.0,10.0,0.05500000000000001
SOTEMAIL,2017,0.55,0.0,10.0,0.05500000000000001
Sté de Place. et de Dévelop.Ind. et Touris. SICAF - SPDIT -,2017,0.55,0.0,10.0,0.05500000000000001
Tawasol Group Holding,2017,0.2,0.0,10.0,0.02
Telnet holding,2017,0.2,0.0,10.0,0.02
Tuninvest- SICAR,2017,0.5,0.0,10.0,0.05
Tunisie Leasing,2017,1.0,0.0,10.0,0.1
Tunisie Profilés Aluminium -TPR-,2017,0.2,0.0,10.0,0.02
UADH,2017,0.15,1.3076923076923075,10.0,0.015
Union Bancaire pour le Commerce et l'Industrie -UBCI -,2017,0.7,-0.3636363636363637,10.0,0.06999999999999999
Union Internationale de Banque -UIB-,2017,0.6,0.09090909090909079,10.0,0.06
Unité de Fabrication de Médicaments «UNIMED»,2017,0.225,-0.27419354838709675,10.0,0.0225
SANIMED,2017,0.065,0.10810810810810796,10.0,0.006500000000000001
Société Atelier du Meuble Interieur - SAM -,2017,0.3,0.10810810810810796,10.0,0.03
ADWYA,2018,0.15,0.10810810810810796,10.0,0.015
AE-TECH,2018,4.1,0.10810810810810796,10.0,0.41
Air Liquide Tunisie ,2018,4.1,0.10810810810810796,10.0,0.41
ALKIMIA,2018,1.25,0.08695652173913052,10.0,0.125
Amen Bank ,2018,1.25,0.08695652173913052,10.0,0.125
AMS,2018,0.23,0.0,10.0,0.023
Arab Tunisian Bank -ATB-,2018,0.23,0.0,10.0,0.023
Arab Tunisian Lease ,2018,0.25,0.041666666666666706,10.0,0.025
ARTES,2018,0.615,0.18269230769230763,10.0,0.0615
Attijari Bank ,2018,1.2,-0.4,10.0,0.12
ATTIJARI LEASING,2018,1.2,-0.14285714285714282,10.0,0.12
Banque de l'Habitat -BH-,2018,0.6,1.0,10.0,0.06
Banque de Tunisie,2018,0.4,0.11111111111111122,10.0,0.04
Banque de Tunisie et des Emirats  -BTE-,2018,4.25,0.0625,10.0,0.425
Banque Internationale Arabe de Tunisie -BIAT- ,2018,4.25,0.0625,10.0,0.425
Banque Nationale Agricole -BNA-,2018,0.12,0.09090909090909087,10.0,0.012
BEST LEASE,2018,0.12,0.09090909090909087,10.0,0.012
Carthage Cement,2018,0.13,0.2380952380952382,10.0,0.013000000000000001
CELLCOM,2018,0.13,0.2380952380952382,10.0,0.013000000000000001
CEREALIS,2018,0.13,0.2380952380952382,10.0,0.013000000000000001
Cie Intenationale de Leasing - CIL-,2018,0.9,0.05882352941176476,10.0,0.09
CIMENTS DE BIZERTE,2018,0.92,0.0,10.0,0.092
CITY CARS,2018,0.92,0.0,10.0,0.092
Compagnie d'Assurances et de Réassurances  -ASTREE-,2018,1.6,-0.27272727272727276,10.0,0.16
WIFACK INTERNATIONAL BANK,2018,0.65,0.0,10.0,0.065
Elbene Industrie,2018,0.65,0.0,10.0,0.065
ELECTROSTAR,2018,0.65,0.0,10.0,0.065
ENNAKL Automobiles,2018,0.65,0.0,10.0,0.065
EURO CYCLES,2018,1.5,0.0714285714285715,10.0,0.15
HANNIBAL LEASE,2018,0.5,-0.09090909090909098,10.0,0.05
HEXABYTE,2018,0.35,0.16666666666666663,10.0,0.034999999999999996
Industries Chimiques du Fluor -ICF-,2018,4.0,3.0,10.0,0.4
Land'or ,2018,0.7,0.16666666666666663,10.0,0.06999999999999999
Magasin Général,2018,0.7,0.16666666666666663,10.0,0.06999999999999999
Maghreb International Publicité -MIP -,2018,0.18,0.2,10.0,0.018
Manufacture de Panneaux Bois du Sud - MPBS -,2018,0.18,0.2,10.0,0.018
MODERN LEASING,2018,0.25,-0.16666666666666663,10.0,0.025
NEW BODY LINE ,2018,0.4,0.08108108108108115,10.0,0.04
ONE TECH HOLDING,2018,0.3,0.15384615384615377,10.0,0.03
OFFICE PLAST,2018,0.055,0.0,10.0,0.0055
Placements de Tunisie - SICAF,2018,2.0,0.0,10.0,0.2
POULINA GROUP HOLDING,2018,0.335,0.1964285714285714,10.0,0.0335
SERVICOM,2018,0.1,0.4285714285714285,10.0,0.01
SIAME ,2018,0.1,0.4285714285714285,10.0,0.01
SIPHAT,2018,1.0,0.0,10.0,0.1
SITS ,2018,1.0,0.0,10.0,0.1
Société d'Articles Hygiéniques SAH -,2018,1.0,0.0,10.0,0.1
Société d'Assurances SALIM,2018,1.0,0.0,10.0,0.1
Société de Fabrication des Boissons de Tunisie -SFBT- ,2018,0.65,0.0,10.0,0.065
Société de Production Agricole Teboulba - SOPAT -,2018,0.8,0.23076923076923078,10.0,0.08
Société de Transport des Hydrocarbures par Pipelines - SOTRAPIL -,2018,0.8,0.23076923076923078,10.0,0.08
Société Délice Holding,2018,0.41,-0.023809523809523832,10.0,0.040999999999999995
Société ESSOUKNA ,2018,0.24,0.0,10.0,0.024
Société Générale Industrielle de Filtration -GIF- ,2018,1.25,-0.16666666666666666,10.0,0.125
Société Immobilière et de Participation -SIMPAR-,2018,1.25,-0.16666666666666666,10.0,0.125
Société l'Accumlateur Tunisien ASSAD ,2018,0.35,4.833333333333333,10.0,0.034999999999999996
Société Moderne de Céramique -SOMOCER-,2018,0.075,-0.5481481481481482,10.0,0.0075
Société Nouvelle Maison de la Ville de Tunis  -MONOPRIX-,2018,0.2,-0.5481481481481482,10.0,0.02
Société Tunisienne d'Assurances et de Réassurances - STAR-,2018,1.22,-0.5481481481481482,10.0,0.122
Société Tunisienne de Banque -STB-,2018,0.5,0.0,10.0,0.05
Société Tunisienne de l'Air -TUNISAIR -,2018,0.5,0.0,10.0,0.05
Société Tunisienne de Réassurance -TUNIS RE -,2018,0.5,0.0,10.0,0.05
Société Tunisienne de Verreries - SOTUVER -,2018,0.26,0.18181818181818185,10.0,0.026000000000000002
Société Tunisienne d'Entreprises de Télécommunications - SOTETEL -,2018,0.1,0.0,10.0,0.01
Société Tunisienne d'Equpement - STEQ -,2018,0.1,0.0,10.0,0.01
Société Tunisienne des Marchés de Gros - SOTUMAG -,2018,0.1,0.0,10.0,0.01
Société Tunisienne Industrielle du Papier et du Carton - SOTIPAPIER -,2018,0.245,0.22499999999999992,10.0,0.0245
Société Tunisiennes des Induustries Pneumatiques -STIP -,2018,0.55,0.0,10.0,0.05500000000000001
SOTEMAIL,2018,0.55,0.0,10.0,0.05500000000000001
Sté de Place. et de Dévelop.Ind. et Touris. SICAF - SPDIT -,2018,0.55,0.0,10.0,0.05500000000000001
Tawasol Group Holding,2018,0.5,1.4999999999999998,10.0,0.05
Telnet holding ,2018,0.5,1.4999999999999998,10.0,0.05
Tuninvest- SICAR ,2018,0.5,0.0,10.0,0.05
Tunisie Leasing ,2018,1.0,0.0,10.0,0.1
Tunisie Profilés Aluminium -TPR-,2018,0.23,0.15,10.0,0.023
UADH,2018,0.15,0.0,10.0,0.015
Union Bancaire pour le Commerce et l'Industrie -UBCI -,2018,1.0,0.42857142857142866,10.0,0.1
Union Internationale de Banque -UIB- ,2018,0.65,0.08333333333333341,10.0,0.065
Unité de Fabrication de Médicaments «UNIMED»,2018,0.235,0.04444444444444436,10.0,0.0235
SANIMED,2018,0.06,-0.07692307692307698,10.0,0.006
Société Atelier du Meuble Interieur - SAM -,2018,0.26,-0.13333333333333328,10.0,0.026000000000000002
ADWYA,2019,0.1,-0.33333333333333326,10.0,0.01
AE-TECH,2019,4.5,0.0975609756097562,10.0,0.45
Air Liquide Tunisie ,2019,4.5,0.0975609756097562,10.0,0.45
ALKIMIA,2019,1.35,0.08000000000000007,10.0,0.135
Amen Bank ,2019,1.35,0.08000000000000007,10.0,0.135
AMS,2019,0.07,-0.6956521739130435,10.0,0.007000000000000001
Arab Tunisian Bank -ATB-,2019,0.07,-0.6956521739130435,10.0,0.007000000000000001
Arab Tunisian Lease ,2019,0.2,-0.19999999999999996,10.0,0.02
ARTES,2019,0.53,-0.13821138211382109,10.0,0.053000000000000005
Attijari Bank ,2019,2.2,0.8333333333333336,10.0,0.22000000000000003
ATTIJARI LEASING,2019,1.2,0.0,10.0,0.12
BH Bank,2019,0.6,0.0,10.0,0.06
BH Assurance,2019,0.25,-0.37500000000000006,10.0,0.025
Banque de Tunisie,2019,0.25,-0.37500000000000006,10.0,0.025
Banque de Tunisie et des Emirats  -BTE-,2019,5.0,0.17647058823529413,10.0,0.5
Banque Internationale Arabe de Tunisie -BIAT- ,2019,5.0,0.17647058823529413,10.0,0.5
Banque Nationale Agricole -BNA-,2019,0.12,0.0,10.0,0.012
BEST LEASE,2019,0.12,0.0,10.0,0.012
Carthage Cement,2019,0.15,0.15384615384615377,10.0,0.015
CELLCOM,2019,0.15,0.15384615384615377,10.0,0.015
CEREALIS,2019,0.15,0.15384615384615377,10.0,0.015
Cie Intenationale de Leasing - CIL-,2019,1.0,0.11111111111111108,10.0,0.1
CIMENTS DE BIZERTE,2019,0.95,0.03260869565217382,10.0,0.095
CITY CARS,2019,0.95,0.03260869565217382,10.0,0.095
Compagnie d'Assurances et de Réassurances  -ASTREE-,2019,1.8,0.12499999999999997,10.0,0.18
WIFACK INTERNATIONAL BANK,2019,0.58,-0.10769230769230778,10.0,0.057999999999999996
ELECTROSTAR,2019,0.58,-0.10769230769230778,10.0,0.057999999999999996
ENNAKL Automobiles,2019,0.58,-0.10769230769230778,10.0,0.057999999999999996
EURO CYCLES,2019,1.2,-0.20000000000000004,10.0,0.12
HANNIBAL LEASE,2019,0.3,-0.4,10.0,0.03
HEXABYTE,2019,0.35,0.0,10.0,0.034999999999999996
Industries Chimiques du Fluor -ICF-,2019,9.0,1.25,10.0,0.9
Land'or ,2019,0.6,-0.4285714285714285,10.0,0.06
Magasin Général,2019,0.4,-0.4285714285714285,10.0,0.04
Maghreb International Publicité -MIP -,2019,0.2,0.11111111111111122,10.0,0.02
Manufacture de Panneaux Bois du Sud - MPBS -,2019,0.2,0.11111111111111122,10.0,0.02
MODERN LEASING,2019,0.6,0.4999999999999999,10.0,0.06
NEW BODY LINE ,2019,0.6,0.4999999999999999,10.0,0.06
ONE TECH HOLDING,2019,0.33,0.10000000000000009,10.0,0.033
OFFICE PLAST,2019,0.075,0.3636363636363636,10.0,0.0075
Placements de Tunisie - SICAF,2019,2.2,0.10000000000000009,10.0,0.22000000000000003
POULINA GROUP HOLDING,2019,0.335,0.0,10.0,0.0335
SERVICOM,2019,0.15,0.4999999999999999,10.0,0.015
SIAME ,2019,0.15,0.4999999999999999,10.0,0.015
SIPHAT,2019,0.65,0.0,10.0,0.065
SITS ,2019,0.65,0.0,10.0,0.065
Société d'Articles Hygiéniques SAH -,2019,0.65,0.0,10.0,0.065
Société de Fabrication des Boissons de Tunisie -SFBT- ,2019,0.65,0.0,10.0,0.065
Société de Production Agricole Teboulba - SOPAT -,2019,0.95,0.1874999999999999,10.0,0.095
Société de Transport des Hydrocarbures par Pipelines - SOTRAPIL -,2019,0.95,0.1874999999999999,10.0,0.095
Société Délice Holding,2019,0.41,0.0,10.0,0.040999999999999995
Société ESSOUKNA ,2019,0.07,-0.7083333333333333,10.0,0.007000000000000001
Société Générale Industrielle de Filtration -GIF- ,2019,0.35,0.0,10.0,0.034999999999999996
Société Immobilière et de Participation -SIMPAR-,2019,0.35,0.0,10.0,0.034999999999999996
Société l'Accumlateur Tunisien ASSAD ,2019,0.35,0.0,10.0,0.034999999999999996
Société Moderne de Céramique -SOMOCER-,2019,3.075,1.5204918032786887,10.0,0.3075
Société Nouvelle Maison de la Ville de Tunis  -MONOPRIX-,2019,3.075,1.5204918032786887,10.0,0.3075
Société Tunisienne d'Assurances et de Réassurances - STAR-,2019,3.075,1.5204918032786887,10.0,0.3075
Société Tunisienne de Banque -STB-,2019,0.55,0.10000000000000009,10.0,0.05500000000000001
Société Tunisienne de l'Air -TUNISAIR -,2019,0.55,0.10000000000000009,10.0,0.05500000000000001
Société Tunisienne de Réassurance -TUNIS RE -,2019,0.55,0.10000000000000009,10.0,0.05500000000000001
Société Tunisienne de Verreries - SOTUVER -,2019,0.3,0.15384615384615377,10.0,0.03
Société Tunisienne d'Entreprises de Télécommunications - SOTETEL -,2019,0.1,0.09999999999999995,10.0,0.01
Société Tunisienne d'Equpement - STEQ -,2019,0.11,0.09999999999999995,10.0,0.011
Société Tunisienne des Marchés de Gros - SOTUMAG -,2019,0.11,0.09999999999999995,10.0,0.011
Société Tunisienne Industrielle du Papier et du Carton - SOTIPAPIER -,2019,0.33,0.3469387755102042,10.0,0.033
Société Tunisiennes des Induustries Pneumatiques -STIP -,2019,0.6,0.09090909090909079,10.0,0.06
SOTEMAIL,2019,0.6,0.09090909090909079,10.0,0.06
Sté de Place. et de Dévelop.Ind. et Touris. SICAF - SPDIT -,2019,0.6,0.09090909090909079,10.0,0.06
Tawasol Group Holding,2019,0.7,0.3999999999999999,10.0,0.06999999999999999
Telnet holding ,2019,0.7,0.3999999999999999,10.0,0.06999999999999999
Tuninvest- SICAR ,2019,0.5,0.0,10.0,0.05
Tunisie Leasing et Factoring,2019,0.65,-0.35,10.0,0.065
Tunisie Profilés Aluminium -TPR-,2019,0.24,0.04347826086956513,10.0,0.024
TUNISIE VALEURS,2019,1.8,-0.13461538461538464,10.0,0.18
UADH,2019,1.2,0.19999999999999996,10.0,0.12
Union Bancaire pour le Commerce et l'Industrie -UBCI -,2019,1.2,0.19999999999999996,10.0,0.12
Union Internationale de Banque -UIB- ,2019,0.7,0.07692307692307682,10.0,0.06999999999999999
Unité de Fabrication de Médicaments «UNIMED»,2019,0.345,0.4680851063829787,10.0,0.034499999999999996
SANIMED,2019,0.3,0.15384615384615377,10.0,0.03
Société Atelier du Meuble Interieur - SAM -,2019,0.3,0.15384615384615377,10.0,0.03
ADWYA,2020,0.287,-0.4584905660377359,10.0,0.028699999999999996
AE-TECH,2020,0.287,-0.4584905660377359,10.0,0.028699999999999996
Air Liquide Tunisie ,2020,0.287,-0.4584905660377359,10.0,0.028699999999999996
ALKIMIA,2020,0.287,-0.4584905660377359,10.0,0.028699999999999996
Amen Bank ,2020,0.287,-0.4584905660377359,10.0,0.028699999999999996
AMS,2020,0.287,-0.4584905660377359,10.0,0.028699999999999996
Arab Tunisian Bank -ATB-,2020,0.287,-0.4584905660377359,10.0,0.028699999999999996
Arab Tunisian Lease ,2020,0.287,-0.4584905660377359,10.0,0.028699999999999996
ARTES,2020,0.287,-0.4584905660377359,10.0,0.028699999999999996
Attijari Bank ,2020,1.0,0.06666666666666674,10.0,0.1
ATTIJARI LEASING,2020,1.0,0.06666666666666674,10.0,0.1
BH Bank,2020,1.0,0.06666666666666674,10.0,0.1
BH Assurance,2020,1.0,0.06666666666666674,10.0,0.1
Banque de Tunisie,2020,0.16,0.06666666666666674,10.0,0.016
Banque de Tunisie et des Emirats  -BTE-,2020,0.16,0.06666666666666674,10.0,0.016
Banque Internationale Arabe de Tunisie -BIAT- ,2020,0.16,0.06666666666666674,10.0,0.016
Banque Nationale Agricole -BNA-,2020,0.16,0.06666666666666674,10.0,0.016
BEST LEASE,2020,0.16,0.06666666666666674,10.0,0.016
Carthage Cement,2020,0.16,0.06666666666666674,10.0,0.016
CELLCOM,2020,0.16,0.06666666666666674,10.0,0.016
CEREALIS,2020,0.16,0.06666666666666674,10.0,0.016
Cie Intenationale de Leasing - CIL-,2020,0.6,-0.3684210526315789,10.0,0.06
CIMENTS DE BIZERTE,2020,0.6,-0.3684210526315789,10.0,0.06
CITY CARS,2020,0.6,-0.3684210526315789,10.0,0.06
Compagnie d'Assurances et de Réassurances  -ASTREE-,2020,6.0,2.3333333333333335,10.0,0.6
WIFACK INTERNATIONAL BANK,2020,0.25,-0.5689655172413792,10.0,0.025
ELECTROSTAR,2020,0.25,-0.5689655172413792,10.0,0.025
ENNAKL Automobiles,2020,0.25,-0.5689655172413792,10.0,0.025
EURO CYCLES,2020,1.09,-0.09166666666666656,10.0,0.10900000000000001
HANNIBAL LEASE,2020,0.54,0.542857142857143,10.0,0.054000000000000006
HEXABYTE,2020,0.54,0.542857142857143,10.0,0.054000000000000006
Industries Chimiques du Fluor -ICF-,2020,8.0,-0.1111111111111111,10.0,0.8
Land'or ,2020,0.18,-0.7,10.0,0.018
Magasin Général,2020,0.25,-1.0,10.0,0.025
Maghreb International Publicité -MIP -,2020,0.25,-0.5833333333333334,10.0,0.025
Manufacture de Panneaux Bois du Sud - MPBS -,2020,0.25,-0.5833333333333334,10.0,0.025
MODERN LEASING,2020,0.25,-0.5833333333333334,10.0,0.025
NEW BODY LINE ,2020,0.25,-0.5833333333333334,10.0,0.025
ONE TECH HOLDING,2020,0.25,-0.24242424242424246,10.0,0.025
OFFICE PLAST,2020,0.03,-0.6,10.0,0.003
Placements de Tunisie - SICAF,2020,2.2,0.0,10.0,0.22000000000000003
POULINA GROUP HOLDING,2020,0.3,-0.1044776119402986,10.0,0.03
SERVICOM,2020,0.12,-0.2,10.0,0.012
SIAME ,2020,0.12,-0.2,10.0,0.012
SIPHAT,2020,0.15,0.0,10.0,0.015
SITS ,2020,0.15,0.0,10.0,0.015
Société d'Articles Hygiéniques SAH -,2020,0.15,0.0,10.0,0.015
Société de Fabrication des Boissons de Tunisie -SFBT- ,2020,0.65,0.0,10.0,0.065
Société de Production Agricole Teboulba - SOPAT -,2020,1.05,0.10526315789473695,10.0,0.10500000000000001
Société de Transport des Hydrocarbures par Pipelines - SOTRAPIL -,2020,1.05,0.10526315789473695,10.0,0.10500000000000001
Société Délice Holding,2020,0.333,-0.1878048780487804,10.0,0.0333
Société ESSOUKNA ,2020,0.035,-0.5,10.0,0.0035000000000000005
Société Générale Industrielle de Filtration -GIF- ,2020,0.25,-0.28571428571428564,10.0,0.025
Société Immobilière et de Participation -SIMPAR-,2020,0.25,-0.28571428571428564,10.0,0.025
Société l'Accumlateur Tunisien ASSAD ,2020,0.25,-0.28571428571428564,10.0,0.025
Société Moderne de Céramique -SOMOCER-,2020,3.82,0.2422764227642275,10.0,0.382
Société Nouvelle Maison de la Ville de Tunis  -MONOPRIX-,2020,3.82,0.2422764227642275,10.0,0.382
Société Tunisienne d'Assurances et de Réassurances - STAR-,2020,3.82,0.2422764227642275,10.0,0.382
Société Tunisienne de Banque -STB-,2020,0.15,-0.5,10.0,0.015
Société Tunisienne de l'Air -TUNISAIR -,2020,0.15,-0.5,10.0,0.015
Société Tunisienne de Réassurance -TUNIS RE -,2020,0.15,-0.5,10.0,0.015
Société Tunisienne de Verreries - SOTUVER -,2020,0.15,-0.5,10.0,0.015
Société Tunisienne d'Entreprises de Télécommunications - SOTETEL -,2020,0.14,0.2727272727272728,10.0,0.014000000000000002
Société Tunisienne d'Equpement - STEQ -,2020,0.14,0.2727272727272728,10.0,0.014000000000000002
Société Tunisienne des Marchés de Gros - SOTUMAG -,2020,0.14,0.2727272727272728,10.0,0.014000000000000002
Société Tunisienne Industrielle du Papier et du Carton - SOTIPAPIER -,2020,0.465,0.4090909090909091,10.0,0.0465
Société Tunisiennes des Induustries Pneumatiques -STIP -,2020,0.6,0.0,10.0,0.06
SOTEMAIL,2020,0.6,0.0,10.0,0.06
Sté de Place. et de Dévelop.Ind. et Touris. SICAF - SPDIT -,2020,0.6,0.0,10.0,0.06
Tawasol Group Holding,2020,0.2,-0.7142857142857143,10.0,0.02
Telnet holding ,2020,0.2,-0.7142857142857143,10.0,0.02
Tuninvest- SICAR ,2020,0.5,0.0,10.0,0.05
Tunisie Leasing et Factoring,2020,0.675,-0.625,10.0,0.0675
Tunisie Profilés Aluminium -TPR-,2020,0.675,-0.625,10.0,0.0675
TUNISIE VALEURS,2020,0.675,-0.625,10.0,0.0675
UADH,2020,0.15,-1.0,10.0,0.015
Union Bancaire pour le Commerce et l'Industrie -UBCI -,2020,0.15,-1.0,10.0,0.015
Union Internationale de Banque -UIB- ,2020,0.15,-1.0,10.0,0.015
Unité de Fabrication de Médicaments «UNIMED»,2020,0.15,-1.0,10.0,0.015
SANIMED,2020,0.15,-0.5,10.0,0.015
Société Atelier du Meuble Interieur - SAM -,2020,0.15,-0.5,10.0,0.015
ADWYA,2021,0.1,1.787456445993032,10.0,0.01
AE-TECH,2021,4.5,1.787456445993032,10.0,0.45
Air Liquide Tunisie ,2021,4.5,1.787456445993032,10.0,0.45
ALKIMIA,2021,2.15,1.787456445993032,10.0,0.215
Amen Bank ,2021,2.15,1.787456445993032,10.0,0.215
AMS,2021,0.075,1.787456445993032,10.0,0.0075
Arab Tunisian Bank -ATB-,2021,0.075,1.787456445993032,10.0,0.0075
Arab Tunisian Lease ,2021,0.075,1.787456445993032,10.0,0.0075
ARTES,2021,0.8,1.787456445993032,10.0,0.08
ASSURANCES MAGHREBIA ,2021,1.87,0.0,10.0,0.187
Attijari Bank ,2021,2.7,0.0,10.0,0.27
ATTIJARI LEASING,2021,0.5,0.0,10.0,0.05
BH Bank,2021,0.6,0.0,10.0,0.06
BH Assurance,2021,1.0,0.0,10.0,0.1
Banque de Tunisie,2021,0.35,0.06250000000000006,10.0,0.034999999999999996
Banque de Tunisie et des Emirats  -BTE-,2021,5.0,0.06250000000000006,10.0,0.5
Banque Internationale Arabe de Tunisie -BIAT- ,2021,5.0,0.06250000000000006,10.0,0.5
Banque Nationale Agricole -BNA-,2021,0.5,0.06250000000000006,10.0,0.05
BEST LEASE,2021,0.11,0.06250000000000006,10.0,0.011
Carthage Cement,2021,0.17,0.06250000000000006,10.0,0.017
CELLCOM,2021,0.17,0.06250000000000006,10.0,0.017
CEREALIS,2021,0.17,0.06250000000000006,10.0,0.017
Compagnie Intenationale de Leasing - CIL-,2021,1.795,0.3833333333333333,10.0,0.1795
CIMENTS DE BIZERTE,2021,0.83,0.3833333333333333,10.0,0.08299999999999999
CITY CARS,2021,0.83,0.3833333333333333,10.0,0.08299999999999999
Compagnie d'Assurances et de Réassurances  -ASTREE-,2021,2.8,-0.5333333333333333,10.0,0.27999999999999997
WIFACK INTERNATIONAL BANK,2021,0.65,1.6,10.0,0.065
ELECTROSTAR,2021,0.65,1.6,10.0,0.065
ENNAKL Automobiles,2021,0.65,1.6,10.0,0.065
EURO CYCLES,2021,1.515,0.3899082568807338,10.0,0.1515
HANNIBAL LEASE,2021,1.5,-0.8125,10.0,0.15
Industries Chimiques du Fluor -ICF-,2021,1.5,-0.8125,10.0,0.15
Land'or ,2021,0.2,0.11111111111111122,10.0,0.02
Magasin Général,2021,0.1,0.43999999999999995,10.0,0.01
Maghreb International Publicité -MIP -,2021,0.1,0.43999999999999995,10.0,0.01
Manufacture de Panneaux Bois du Sud - MPBS -,2021,0.1,0.43999999999999995,10.0,0.01
BH LEASING,2021,0.36,0.43999999999999995,10.0,0.036
NEW BODY LINE ,2021,0.36,0.43999999999999995,10.0,0.036
ONE TECH HOLDING,2021,0.25,0.0,10.0,0.025
OFFICE PLAST,2021,0.02,-0.3333333333333333,10.0,0.002
Placements de Tunisie - SICAF,2021,4.0,0.818181818181818,10.0,0.4
POULINA GROUP HOLDING,2021,0.26,-0.13333333333333328,10.0,0.026000000000000002
SERVICOM,2021,0.12,0.0,10.0,0.012
SIAME ,2021,0.12,0.0,10.0,0.012
SIPHAT,2021,0.23,0.5333333333333334,10.0,0.023
SITS ,2021,0.23,0.5333333333333334,10.0,0.023
Société d'Articles Hygiéniques SAH -,2021,0.23,0.5333333333333334,10.0,0.023
Société de Fabrication des Boissons de Tunisie -SFBT- ,2021,0.715,0.09999999999999991,10.0,0.0715
Société de Production Agricole Teboulba - SOPAT -,2021,1.05,0.0,10.0,0.10500000000000001
Société de Transport des Hydrocarbures par Pipelines - SOTRAPIL -,2021,1.05,0.0,10.0,0.10500000000000001
Société Délice Holding,2021,0.37,0.11111111111111104,10.0,0.037
Société ESSOUKNA ,2021,2.84,-0.25654450261780104,10.0,0.284
Société Générale Industrielle de Filtration -GIF- ,2021,2.84,-0.25654450261780104,10.0,0.284
Société Immobilière et de Participation -SIMPAR-,2021,2.84,-0.25654450261780104,10.0,0.284
Société l'Accumlateur Tunisien ASSAD ,2021,2.84,-0.25654450261780104,10.0,0.284
Société Moderne de Céramique -SOMOCER-,2021,2.84,-0.25654450261780104,10.0,0.284
Société Nouvelle Maison de la Ville de Tunis  -MONOPRIX-,2021,2.84,-0.25654450261780104,10.0,0.284
Société Tunisienne d'Assurances et de Réassurances - STAR-,2021,2.84,-0.25654450261780104,10.0,0.284
Société Tunisienne de Banque -STB-,2021,0.245,1.2666666666666668,10.0,0.0245
Société Tunisienne de l'Air -TUNISAIR -,2021,0.245,1.2666666666666668,10.0,0.0245
Société Tunisienne de Réassurance -TUNIS RE -,2021,0.245,1.2666666666666668,10.0,0.0245
Société Tunisienne de Verreries - SOTUVER -,2021,0.34,1.2666666666666668,10.0,0.034
Société Tunisienne d'Entreprises de Télécommunications - SOTETEL -,2021,0.1,0.07142857142857129,10.0,0.01
Société Tunisienne des Marchés de Gros - SOTUMAG -,2021,0.15,0.07142857142857129,10.0,0.015
Société Tunisienne Industrielle du Papier et du Carton - SOTIPAPIER -,2021,0.425,-0.08602150537634416,10.0,0.042499999999999996
Société Tunisiennes des Induustries Pneumatiques -STIP -,2021,0.6,0.0,10.0,0.06
SOTEMAIL,2021,0.6,0.0,10.0,0.06
Sté de Place. et de Dévelop.Ind. et Touris. SICAF - SPDIT -,2021,0.6,0.0,10.0,0.06
Tawasol Group Holding,2021,0.25,0.24999999999999994,10.0,0.025
Telnet holding ,2021,0.25,0.24999999999999994,10.0,0.025
Tuninvest- SICAR ,2021,1.5,2.0,10.0,0.15
