Date,High,Close,Low,Open
2013-03-15,5813.063,5793.729,5769.707,5797.543
2013-03-18,5794.432,5754.391,5722.138,5794.506
2013-03-19,5783.683,5750.229,5685.098,5752.498
2013-03-21,5775.246,5767.47,5717.439,5747.973
2013-03-22,5779.921,5759.518,5726.213,5765.926
2013-03-25,5785.818,5750.463,5724.154,5761.562
2013-03-26,5768.433,5726.679,5704.862,5751.789
2013-03-27,5746.139,5744.203,5690.432,5724.539
2013-03-28,5744.623,5737.791,5695.124,5724.699
2013-03-29,5735.711,5727.121,5684.547,5737.729
2013-04-01,5780.7,5761.458,5705.297,5759.709
2013-04-02,5801.216,5762.663,5704.842,5733.932
2013-04-03,5785.593,5761.022,5664.417,5774.27
2013-04-04,5760.079,5683.451,5675.783,5758.729
2013-04-05,5757.506,5700.207,5654.466,5697.031
2013-04-08,5718.092,5685.195,5643.528,5693.305
2013-04-10,5674.669,5652.101,5599.44,5644.506
2013-04-11,5654.438,5638.362,5566.405,5619.38
2013-04-12,5641.041,5602.765,5580.744,5606.25
2013-04-15,5604.12,5567.565,5515.079,5603.257
2013-04-16,5567.737,5518.887,5489.16,5567.282
2013-04-17,5572.633,5533.391,5491.974,5569.391
2013-04-18,5536.43,5512.935,5470.212,5502.879
2013-04-19,5534.885,5492.214,5451.758,5524.182
2013-04-22,5513.314,5462.844,5370.356,5512.448
2013-04-23,5476.621,5469.461,5408.756,5466.681
2013-04-24,5535.322,5474.84,5412.21,5492.326
2013-04-25,5472.615,5456.849,5412.746,5477.639
2013-04-26,5490.237,5463.305,5420.8,5457.354
2013-04-29,5474.146,5435.538,5418.913,5461.711
2013-04-30,5521.054,5523.607,5453.888,5450.979
2013-05-02,5570.575,5561.204,5484.312,5523.223
2013-05-03,5560.75,5509.67,5452.863,5543.206
2013-05-06,5554.862,5515.696,5486.864,5506.293
2013-05-07,5548.804,5474.605,5449.429,5546.948
2013-05-08,5474.288,5374.647,5378.094,5474.834
2013-05-09,5363.334,5323.866,5256.37,5360.037
2013-05-10,5321.116,5258.817,5223.364,5320.941
2013-05-13,5290.829,5245.651,5168.519,5260.58
2013-05-14,5259.532,5207.29,5153.394,5245.583
2013-05-15,5225.909,5183.453,5162.719,5208.009
2013-05-16,5256.857,5174.556,5159.343,5212.346
