Date,High,Close,Low,Open
2012-02-07,2795.299,2788.434,2776.908,2794.786
2012-02-08,2787.55,2767.572,2769.003,2782.963
2012-02-09,2797.205,2794.138,2773.393,2786.066
2012-02-10,2793.92,2786.772,2780.689,2792.356
2012-02-13,2786.597,2760.322,2760.606,2785.293
2012-02-14,2759.161,2752.239,2736.507,2741.463
2012-02-15,2754.918,2756.468,2737.65,2753.967
2012-02-16,2784.727,2784.435,2739.436,2739.846
2012-02-17,2795.358,2795.729,2764.006,2763.346
2012-02-20,2800.015,2794.093,2778.125,2778.925
2012-02-21,2813.509,2813.019,2788.694,2792.902
2012-02-22,2820.117,2819.445,2807.679,2811.037
2012-02-23,2824.323,2825.161,2795.859,2819.569
2012-02-24,2828.573,2823.562,2803.744,2824.257
2012-02-27,2827.174,2815.08,2807.933,2825.422
2012-02-28,2827.289,2826.676,2815.529,2814.222
2012-02-29,2861.274,2860.718,2827.277,2828.503
2012-03-01,2912.369,2890.216,2841.564,2855.693
2012-03-02,2914.068,2902.477,2892.067,2904.005
2012-03-05,2909.811,2909.973,2889.038,2904.878
2012-03-06,2940.938,2941.293,2897.804,2910.178
2012-03-07,2983.385,2976.84,2924.788,2950.39
2012-03-08,2991.609,2992.716,2958.77,2986.316
2012-03-09,3083.787,3069.402,3037.52,3063.453
2012-03-12,3190.014,3188.674,3085.581,3083.989
2012-03-13,3201.329,3093.454,3094.66,3195.269
2012-03-14,3132.989,3055.972,3055.802,3114.574
2012-03-15,3070.444,3014.841,3015.35,3056.024
2012-03-16,3032.44,2968.382,2960.237,3026.33
2012-03-19,2987.269,2972.573,2960.475,2966.934
2012-03-21,2985.887,2984.388,2973.966,2973.766
2012-03-22,2986.473,2944.671,2931.911,2988.601
2012-03-23,2932.347,2903.084,2867.078,2932.069
2012-03-26,2912.215,2858.51,2831.34,2887.166
2012-03-27,2861.187,2816.113,2800.871,2855.184
2012-03-28,2825.811,2779.739,2765.771,2821.445
2012-03-29,2791.087,2763.431,2743.573,2792.496
2012-03-30,2778.445,2761.744,2761.742,2764.079
2012-04-02,2770.43,2729.902,2729.495,2759.893
2012-04-03,2765.226,2736.986,2731.414,2736.64
2012-04-04,2772.487,2719.345,2712.562,2745.422
2012-04-05,2716.473,2676.979,2676.966,2714.269
2012-04-06,2698.789,2660.337,2658.614,2666.848
2012-04-10,2691.102,2670.061,2654.915,2659.258
2012-04-11,2717.112,2697.988,2694.726,2716.9
2012-04-12,2730.526,2725.421,2697.529,2703.789
2012-04-13,2753.216,2751.12,2683.993,2704.609
2012-04-16,2767.707,2748.631,2728.14,2751.258
2012-04-17,2782.258,2775.955,2733.336,2734.205
2012-04-18,2810.326,2810.588,2776.496,2775.072
2012-04-19,2862.132,2860.707,2805.741,2807.248
2012-04-20,2910.898,2905.717,2884.267,2895.801
2012-04-23,2947.587,2918.622,2884.911,2917.033
2012-04-24,2918.007,2848.79,2840.529,2918.5
2012-04-25,2895.882,2844.716,2844.408,2848.606
2012-04-26,2843.204,2784.988,2785.22,2842.516
2012-04-27,2790.425,2791.987,2775.644,2783.324
2012-04-30,2766.992,2756.119,2750.971,2764.389
2012-05-02,2783.79,2722.465,2723.048,2757.685
2012-05-03,2722.612,2721.735,2716.916,2721.67
2012-05-04,2724.418,2723.387,2711.683,2721.576
2012-05-07,2738.373,2715.602,2699.4,2724.613
2012-05-08,2741.616,2733.694,2692.658,2741.267
2012-05-09,2765.3,2736.874,2705.065,2756.324
2012-05-10,2755.097,2741.699,2707.698,2734.769
2012-05-11,2747.226,2740.249,2703.029,2742.359
2012-05-14,2766.632,2751.694,2725.73,2763.874
2012-05-15,2753.922,2749.216,2681.149,2735.067
2012-05-16,2754.236,2743.896,2715.418,2750.794
2012-05-17,2739.717,2735.872,2711.256,2716.611
2012-05-18,2729.469,2726.388,2708.361,2718.277
2012-05-21,2733.718,2711.423,2706.199,2724.802
2012-05-22,2755.59,2751.986,2715.38,2716.265
2012-05-23,2769.883,2748.91,2748.652,2749.937
2012-05-24,2755.194,2755.982,2734.115,2745.582
2012-05-25,2757.69,2721.829,2721.616,2758.079
2012-05-28,2744.596,2701.061,2701.726,2742.688
2012-05-29,2759.291,2732.012,2694.377,2694.18
