Companies,Nominal,Montant 2016,Variation2016,Montant 2017,Variation2017,Montant 2018,Variation2018,Montant 2019,Variation2019,Montant 2020,Variation2020,Montant 2021,Variation2021,Montant 2022,Variation2022,DL 2016,DL 2017,DL 2018,DL 2019,DL 2020,DL 2021,DL 2022,Average DL,Growth Rate 2017,Growth Rate 2018,Growth Rate 2019,Growth Rate 2020,Growth Rate 2021,Growth Rate 2022
CITY CARS,1.0,0.92,0.15,0.92,0.0,0.92,0.0,0.95,0.03260869565217382,0.6,-0.3684210526315789,0.83,0.3833333333333333,1.25,0.5060240963855422,0.92,0.92,0.92,0.95,0.6,0.83,1.25,0.9128571428571428,0.0,0.0,0.03260869565217382,-0.3684210526315789,0.3833333333333333,0.5060240963855422
Compagnie d'Assurances et de Réassurances  -ASTREE-,5.0,2.0,0.17647058823529416,2.2,0.10000000000000009,1.6,-0.27272727272727276,1.8,0.12499999999999997,6.0,2.3333333333333335,2.8,-0.5333333333333333,2.8,0.0,0.4,0.44000000000000006,0.32,0.36,1.2,0.5599999999999999,0.5599999999999999,0.5485714285714286,0.10000000000000009,-0.27272727272727276,0.12499999999999997,2.3333333333333335,-0.5333333333333333,0.0
ENNAKL Automobiles,1.0,0.65,0.30000000000000004,0.65,0.0,0.65,0.0,0.58,-0.10769230769230778,0.25,-0.5689655172413792,0.65,1.6,0.65,0.0,0.65,0.65,0.65,0.58,0.25,0.65,0.65,0.5828571428571429,0.0,0.0,-0.10769230769230778,-0.5689655172413792,1.6,0.0
EURO CYCLES,1.0,1.4,0,1.4,0.0,1.5,0.0714285714285715,1.2,-0.20000000000000004,1.09,-0.09166666666666656,1.515,0.3899082568807338,1.67,0.10231023102310234,1.4,1.4,1.5,1.2,1.09,1.515,1.67,1.3964285714285716,0.0,0.0714285714285715,-0.20000000000000004,-0.09166666666666656,0.3899082568807338,0.10231023102310234
HANNIBAL LEASE,5.0,0.41,0.17142857142857143,0.55,0.34146341463414653,0.5,-0.09090909090909098,0.3,-0.4,0.26666666666666666,0.542857142857143,0.23333333333333334,-0.8125,0.2,1.4666666666666668,0.08199999999999999,0.11000000000000001,0.1,0.06,0.05333333333333333,0.04666666666666667,0.04,0.0702857142857143,0.34146341463414653,-0.09090909090909098,-0.4,-0.11111111111111109,-0.12499999999999997,-0.14285714285714282
HEXABYTE,1.0,0.35,0.16666666666666663,0.3,-0.14285714285714282,0.35,0.16666666666666663,0.35,0.0,0.54,0.542857142857143,0.54,-0.8125,0.54,1.4666666666666668,0.35,0.3,0.35,0.35,0.54,0.54,0.54,0.42428571428571427,-0.14285714285714282,0.16666666666666663,0.0,0.542857142857143,0.0,0.0
Industries Chimiques du Fluor -ICF-,10.0,0.8,-0.3846153846153846,1.0,0.24999999999999994,4.0,3.0,9.0,1.25,8.0,-0.1111111111111111,1.5,-0.8125,3.7,1.4666666666666668,0.08,0.1,0.4,0.9,0.8,0.15,0.37,0.4,0.24999999999999994,3.0,1.25,-0.1111111111111111,-0.8125,1.4666666666666668
Land'or ,1.0,0.1, -,0.2,1.0,0.4,0.16666666666666663,0.6,-0.4285714285714285,0.18,-0.7,0.2,0.11111111111111122,0.5,1.4999999999999998,0.1,0.2,0.4,0.6,0.18,0.2,0.5,0.3114285714285714,1.0,1.0,0.4999999999999999,-0.7,0.11111111111111122,1.4999999999999998
Magasin Général,1.0,0.45,0.5000000000000001,0.6,0.33333333333333326,0.7,0.16666666666666663,0.4,-0.4285714285714285,0.4,-1.0,0.4,0.43999999999999995,0.4,1.0,0.45,0.6,0.7,0.4,0.4,0.4,0.4,0.47857142857142854,0.33333333333333326,0.16666666666666663,-0.4285714285714285,0.0,0.0,0.0
Manufacture de Panneaux Bois du Sud - MPBS -,2.0,0.2,-0.13043478260869565,0.15,-0.25000000000000006,0.18,0.2,0.2,0.11111111111111122,0.15000000000000002,-0.5833333333333334,0.1,0.43999999999999995,0.2,1.0,0.1,0.075,0.09,0.1,0.07500000000000001,0.05,0.1,0.08428571428571428,-0.25000000000000006,0.2,0.11111111111111122,-0.24999999999999994,-0.33333333333333337,1.0
MODERN LEASING,5.0,0.25,0,0.3,0.19999999999999996,0.25,-0.16666666666666663,0.25,0.4999999999999999,0.25,-0.5833333333333334,0.25,0.43999999999999995,0.25,0.38888888888888895,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05142857142857143,0.19999999999999996,-0.16666666666666663,0.0,0.0,0.0,0.0
NEW BODY LINE ,1.0,0.45,0.0714285714285715,0.37,-0.1777777777777778,0.4,0.08108108108108115,0.6,0.4999999999999999,0.25,-0.5833333333333334,0.36,0.43999999999999995,0.5,0.38888888888888895,0.45,0.37,0.4,0.6,0.25,0.36,0.5,0.4185714285714286,-0.1777777777777778,0.08108108108108115,0.4999999999999999,-0.5833333333333334,0.43999999999999995,0.38888888888888895
ONE TECH HOLDING,1.0,0.225,0,0.26,0.15555555555555556,0.3,0.15384615384615377,0.33,0.10000000000000009,0.25,-0.24242424242424246,0.25,0.0,0.23,-0.07999999999999996,0.225,0.26,0.3,0.33,0.25,0.25,0.23,0.26357142857142857,0.15555555555555556,0.15384615384615377,0.10000000000000009,-0.24242424242424246,0.0,-0.07999999999999996
OFFICE PLAST,1.0,0.05, -,0.055,0.09999999999999995,0.055,0.0,0.075,0.3636363636363636,0.03,-0.6,0.02,-0.3333333333333333,0.02,-0.025000000000000022,0.05,0.055,0.055,0.075,0.03,0.02,0.02,0.04357142857142858,0.09999999999999995,0.0,0.3636363636363636,-0.6,-0.3333333333333333,0.0
Placements de Tunisie - SICAF,10.0,2.0,-0.09090909090909098,2.0,0.0,2.0,0.0,2.2,0.10000000000000009,2.2,0.0,4.0,0.818181818181818,3.9,-0.025000000000000022,0.2,0.2,0.2,0.22000000000000003,0.22000000000000003,0.4,0.39,0.26142857142857145,0.0,0.0,0.10000000000000009,0.0,0.818181818181818,-0.025000000000000022
POULINA GROUP HOLDING,1.0,0.23,0.0454545454545455,0.28,0.21739130434782614,0.335,0.1964285714285714,0.335,0.0,0.3,-0.1044776119402986,0.26,-0.13333333333333328,0.3,0.15384615384615377,0.23,0.28,0.335,0.335,0.3,0.26,0.3,0.2914285714285714,0.21739130434782614,0.1964285714285714,0.0,-0.1044776119402986,-0.13333333333333328,0.15384615384615377
SIAME ,1.0,0.12,0.1999999999999999,0.07,-0.4166666666666666,0.1,0.4285714285714285,0.15,0.4999999999999999,0.12,-0.2,0.12,0.0,0.18,0.5,0.12,0.07,0.1,0.15,0.12,0.12,0.18,0.12285714285714287,-0.4166666666666666,0.4285714285714285,0.4999999999999999,-0.2,0.0,0.5
SITS ,1.0,0.1,0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.5333333333333334,0.1,-0.10869565217391314,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
Société d'Articles Hygiéniques SAH -,1.0,0.285,0.4108910891089107,0.25125,0.0,0.21749999999999997,0.0,0.18375,0.0,0.15,0.0,0.23,0.5333333333333334,0.205,-0.10869565217391314,0.285,0.25125,0.21749999999999997,0.18375,0.15,0.23,0.205,0.2175,-0.11842105263157897,-0.13432835820895525,-0.15517241379310334,-0.1836734693877551,0.5333333333333334,-0.10869565217391314
