Date,High,Close,Low,Open
2013-03-15,2885.536,2871.131,2856.945,2871.065
2013-03-18,2886.996,2884.09,2848.668,2870.583
2013-03-19,2946.037,2940.103,2880.437,2878.493
2013-03-21,2996.06,2977.262,2942.238,2940.48
2013-03-22,2989.866,2961.234,2960.834,2969.946
2013-03-25,3019.052,2957.391,2950.733,2962.928
2013-03-26,2975.763,2954.922,2936.817,2958.558
2013-03-27,2982.464,2973.252,2943.48,2953.471
2013-03-28,2965.964,2963.518,2929.69,2964.897
2013-03-29,2958.393,2955.159,2927.263,2935.57
2013-04-01,2961.672,2941.947,2937.371,2954.216
2013-04-02,2983.914,2981.385,2941.482,2943.494
2013-04-03,2978.5,2947.886,2925.651,2975.175
2013-04-04,3007.871,2975.53,2955.704,2959.256
2013-04-05,2979.126,2972.584,2966.388,2977.3
2013-04-08,2992.006,2983.539,2964.327,2969.682
2013-04-10,2983.537,2943.795,2926.825,2984.83
2013-04-11,2944.468,2918.495,2918.676,2945.436
2013-04-12,2941.545,2916.43,2902.265,2920.033
2013-04-15,2941.511,2935.573,2908.591,2915.383
2013-04-16,2933.43,2883.278,2882.056,2906.012
2013-04-17,2882.95,2876.823,2866.232,2881.325
2013-04-18,2881.148,2873.692,2867.344,2881.152
2013-04-19,2887.942,2882.964,2862.833,2863.516
2013-04-22,2884.694,2861.656,2854.243,2881.967
2013-04-23,2877.01,2872.865,2857.919,2867.918
2013-04-24,2880.013,2872.927,2865.904,2873.562
2013-04-25,2880.867,2859.876,2854.451,2875.794
2013-04-26,2902.797,2903.437,2852.642,2860.416
2013-04-29,2879.478,2850.919,2837.854,2878.394
2013-04-30,2877.964,2879.713,2852.54,2859.646
2013-05-02,2915.134,2874.622,2860.452,2872.489
2013-05-03,2914.332,2913.61,2853.149,2864.283
2013-05-06,2912.59,2901.283,2863.399,2911.541
2013-05-07,2877.222,2853.955,2844.708,2859.402
2013-05-08,2845.004,2844.849,2838.943,2841.031
2013-05-09,2855.668,2832.494,2828.853,2855.452
2013-05-10,2843.692,2826.555,2811.372,2833.752
2013-05-13,2821.963,2802.931,2786.055,2817.233
2013-05-14,2801.368,2785.676,2758.873,2802.041
2013-05-15,2809.108,2806.872,2781.976,2785.538
2013-05-16,2838.434,2806.114,2767.04,2812.106
2013-05-17,2837.373,2822.633,2798.364,2810.873
2013-05-20,2826.005,2811.224,2809.211,2811.6
2013-05-21,2810.997,2799.409,2792.184,2811.968
2013-05-22,2817.511,2819.0,2798.588,2813.429
2013-05-23,2841.351,2833.275,2816.451,2818.981
2013-05-24,2876.746,2870.041,2829.745,2831.877
2013-05-27,2879.531,2876.989,2858.132,2872.692
2013-05-28,2946.657,2922.544,2903.466,2937.851
2013-05-29,2940.878,2937.129,2914.045,2927.572
2013-05-30,2941.958,2923.465,2925.087,2927.92
2013-05-31,2943.134,2934.824,2906.462,2923.848
2013-06-03,2946.102,2929.234,2908.581,2928.117
2013-06-04,2928.609,2916.122,2900.076,2928.947
2013-06-05,2913.793,2901.204,2881.308,2911.37
2013-06-06,2897.327,2889.398,2867.695,2895.097
2013-06-07,2888.465,2882.703,2865.976,2890.486
2013-06-10,2883.019,2849.383,2834.32,2881.729
2013-06-11,2849.927,2840.755,2839.695,2849.78
2013-06-12,2887.206,2854.405,2837.092,2841.582
2013-06-13,2883.347,2876.872,2851.328,2853.128
2013-06-14,2903.569,2902.228,2871.867,2881.081
2013-06-17,2902.955,2903.98,2875.658,2891.899
2013-06-18,2903.865,2897.442,2865.927,2904.018
2013-06-19,2898.84,2898.569,2873.13,2901.048
2013-06-20,2908.901,2895.561,2869.64,2897.588
2013-06-21,2910.699,2899.569,2890.971,2896.803
2013-06-24,2907.064,2896.986,2878.47,2898.526
2013-06-25,2902.623,2893.154,2890.088,2896.8
2013-06-26,2901.493,2898.8,2865.323,2874.015
2013-06-27,2900.077,2882.648,2879.964,2900.764
2013-06-28,2900.128,2890.483,2874.554,2881.544
2013-07-01,2898.431,2898.646,2877.453,2892.872
2013-07-02,2900.2,2892.954,2869.467,2900.007
2013-07-03,2914.939,2914.529,2888.638,2890.03
2013-07-04,2923.704,2924.731,2911.577,2910.712
2013-07-05,2967.465,2964.767,2912.658,2914.675
2013-07-08,2969.91,2960.463,2935.933,2966.085
2013-07-09,2980.373,2948.976,2909.05,2962.23
2013-07-10,2951.222,2925.498,2924.617,2947.005
2013-07-11,2943.759,2941.236,2927.303,2926.476
2013-07-12,2953.656,2945.571,2925.481,2942.246
2013-07-15,2947.381,2946.218,2923.118,2939.226
2013-07-16,2952.704,2941.423,2936.528,2948.944
2013-07-17,2966.486,2965.79,2947.739,2955.773
2013-07-18,2977.118,2973.824,2956.314,2957.15
2013-07-19,2989.168,2959.724,2954.378,2985.73
2013-07-22,2968.071,2954.566,2953.908,2961.392
2013-07-23,2980.745,2977.977,2955.305,2956.469
2013-07-24,3029.106,3019.132,2983.762,2984.485
2013-07-26,2967.69,2933.005,2926.748,2968.252
2013-07-29,2918.097,2889.541,2887.634,2917.16
2013-07-30,2887.324,2873.977,2858.956,2885.766
2013-07-31,2927.775,2926.054,2844.987,2865.396
2013-08-01,2936.59,2935.345,2922.568,2926.398
2013-08-02,2963.745,2961.552,2934.789,2937.198
2013-08-05,2962.03,2948.385,2946.604,2962.795
2013-08-06,2948.501,2936.921,2926.33,2950.317
2013-08-07,2954.551,2942.403,2937.675,2935.119
2013-08-12,2943.488,2941.042,2924.361,2943.723
2013-08-14,2955.786,2946.922,2915.207,2943.321
2013-08-15,2953.493,2950.136,2939.356,2949.45
2013-08-16,3009.265,2998.733,2963.225,2963.808
2013-08-19,3047.112,3036.719,2999.778,3001.461
2013-08-20,3066.024,3053.109,3016.907,3035.292
2013-08-21,3059.17,3027.526,3027.728,3055.171
2013-08-22,3025.873,3003.797,2967.8,3027.364
2013-08-23,3015.613,2990.573,2982.676,3010.346
2013-08-26,3030.88,2998.683,2993.671,3031.509
2013-08-27,3017.16,3007.83,2999.134,2998.602
2013-08-28,3013.553,3006.567,3002.038,3009.727
2013-08-29,3013.279,3000.402,2997.9,3015.885
2013-08-30,3012.68,3009.135,2995.301,2996.362
2013-09-02,3008.149,2999.817,2999.485,3008.788
2013-09-03,2999.727,2991.219,2985.259,3000.796
2013-09-04,2994.074,2987.399,2984.457,2995.771
2013-09-05,2987.189,2935.775,2914.451,2988.156
2013-09-06,2964.823,2935.95,2931.984,2934.813
2013-09-09,2970.874,2934.291,2916.868,2936.041
2013-09-10,2962.427,2948.26,2931.709,2934.649
2013-09-11,2963.528,2945.757,2926.41,2950.373
2013-09-12,2954.942,2954.114,2929.864,2944.839
2013-09-13,2958.911,2948.58,2923.766,2954.032
2013-09-16,2966.707,2954.028,2932.987,2966.017
2013-09-17,2964.356,2933.301,2924.3,2954.676
2013-09-18,2965.92,2936.588,2922.125,2964.8
2013-09-19,2947.744,2945.4,2930.268,2939.501
2013-09-20,2949.309,2950.865,2933.721,2946.527
2013-09-23,2950.325,2948.378,2933.545,2937.816
2013-09-24,2947.652,2945.205,2934.276,2949.284
2013-09-25,2952.236,2936.068,2933.904,2944.012
2013-09-26,2935.804,2927.777,2920.238,2936.243
2013-09-27,2927.662,2926.801,2922.409,2927.606
2013-09-30,2937.438,2909.245,2910.039,2936.758
2013-10-01,2938.848,2939.392,2911.663,2909.768
2013-10-02,2947.605,2913.68,2913.919,2937.969
2013-10-03,2930.883,2925.606,2912.695,2913.912
2013-10-04,2937.306,2891.715,2891.303,2927.34
2013-10-07,2917.706,2890.681,2889.995,2892.374
2013-10-08,2901.642,2900.92,2883.231,2887.581
2013-10-09,2931.294,2932.466,2898.061,2901.271
2013-10-10,2935.563,2898.971,2900.068,2932.851
2013-10-11,2915.02,2899.811,2898.195,2900.311
2013-10-14,2901.019,2899.329,2880.458,2900.609
2013-10-18,2914.681,2893.822,2890.997,2900.054
